"id";"titulo";"descricao";"diretor";"posterpath";"popularidade";"data_lancamento";"id_genero"
11;"Vingadores: Guerra Infinita";"Enquanto os Vingadores e seus aliados continuaram a proteger o mundo de ameaças grandes demais para qualquer herói, uma nova ameaça emergiu das sombras cósmicas: Thanos. Um déspota de infâmia intergalática, tem o objetivo de coletar todas as seis Joias do Infinito, artefatos de poder inimaginável, e usá-las para infligir sua vontade distorcida em toda a realidade. Tudo pelo que os Vingadores lutaram levou até este momento - o destino da Terra e da própria existência nunca foi tão incerto.";"Joe Russo; Anthony Russo";"https://image.tmdb.org/t/p/w400/rkHe0BfOo1f5N2q6rxgdYac7Zf6.jpg";110.82;"2018-04-25";12
12;"Homem-Formiga e a Vespa";"Após ter ajudado o Capitão América na batalha contra o Homem de Ferro na Alemanha, Scott Lang (Paul Rudd) é condenado a dois anos de prisão domiciliar, por ter quebrado o Tratado de Sokovia. Diante desta situação, ele foi obrigado a se aposentar temporariamente do posto de super-herói. Restando apenas três dias para o término deste prazo, ele tem um estranho sonho com Janet Van Dyne (Michelle Pfeiffer), que desapareceu 30 anos atrás ao entrar no mundo quântico em um ato de heroísmo. Ao procurar o dr. Hank Pym (Michael Douglas) e sua filha Hope (Evangeline Lilly) em busca de explicações, Scott é rapidamente cooptado pela dupla para que possa ajudá-los em sua nova missão: construir um túnel quântico, com o objetivo de resgatar Janet de seu limbo.";"Peyton Reed";"https://image.tmdb.org/t/p/w400/azH25XpelbpzSEg8JoQVJQsFNF7.jpg";105.36;"2018-07-04";28
13;"Liga do Kung Fu";"Comédia de artes marciais seguindo um grupo de lendas do kung fu se unindo para enfrentar os bandidos. As lendas incluem VINCENT ZHAO reprisando seu papel como ""Wong Fei Hung"" com DENNIS TO retratando o mestre do ""Wing Chun"" ""Ip Man"", DANNY CHAN KWOK KWAN como ""Chen Zhen"" e ANDY ON como mestre ""Huo Yuan Jia"".";"Jeffrey Lau";"https://image.tmdb.org/t/p/w400/rW0A73hjzPWVwADlCTLnjLhAFLX.jpg";103.52;"2018-10-18";28
14;"O Predador";"Uma perseguição entre naves alienígenas traz à Terra um novo predador, que acaba sendo capturado por humanos. Antes disso, ele tem seu capacete e bracelete roubados por Quinn McKenna (Boyd Holbrook), um atirador de elite que estava em missão no local onde a nave caiu. A bióloga Casey Brackett (Olivia Munn) é então chamada para examinar o ser recém-descoberto, mas ele logo consegue escapar do laboratório em que é mantido cativeiro. Ao tentar recapturá-lo Casey encontra McKenna, que está em um ônibus repleto de ex-militares com problemas. Juntos, eles buscam um meio de sobreviver e, ao mesmo tempo, proteger o pequeno Rory (Jacob Tremblay), filho de McKenna, que está com os artefatos alienígenas pegos pelo pai.";"Shane Black";"https://image.tmdb.org/t/p/w400/91hCciJHr0B50kopJTktLtcEZBQ.jpg";99.53;"2018-09-13";27
15;"Arranha-Céu: Coragem Sem Limite";"Responsável pela segurança de arranha-céus, o veterano de guerra americano e ex-líder da operação de resgate do FBI, Will Ford (Dwayne Johnson), é acusado de ter colocado o edifício mais alto e mais seguro da China em chamas. Cabe ao agente então achar os culpados pelo incêndio, salvar sua família que está presa dentro do prédio e limpar seu nome antes que seja tarde demais.";"Rawson Marshall Thurber";"https://image.tmdb.org/t/p/w400/vY8ED3FJfaKJKXEfTmBBEI9QLqY.jpg";97.1;"2018-07-11";28
16;"Alfa";"Há 20 mil anos, durante a Era do Gelo, a humanidade lutava em meio à selvageria por sobrevivência. Neste cenário, um rapaz se afasta de sua tribo e dá de cara com inimigos. Sua única chance de viver mais um dia é se aliar a uma criatura que quase o matou. Uma jornada de aprendizagem, luta, sobrevivência. Conheça a origem de um relacionamento que mudou nosso mundo para sempre.";"Albert Hughes";"https://image.tmdb.org/t/p/w400/bN4CnaDJnOSh624JoTeAzczPnSz.jpg";93.63;"2018-08-16";12
17;"O Primeiro Homem";"A vida do astronauta norte-americano Neil Armstrong e sua jornada para se tornar o primeiro homem a andar na Lua. Os sacrifícios e custos de Neil e toda uma nação durante uma das mais perigosas missões na história das viagens espaciais.";"Damien Chazelle";"https://image.tmdb.org/t/p/w400/5UUJHL1KRF2xSQ3b712NnM3pA6k.jpg";88.92;"2018-10-10";36
18;"Bohemian Rhapsody";"Freddie Mercury (Rami Malek) e seus companheiros, Brian May, Roger Taylor e John Deacon mudam o mundo da música para sempre ao formar a banda Queen durante a década de 1970. Porém, quando o estilo de vida extravagante de Mercury começa a sair do controle, a banda tem que enfrentar o desafio de conciliar a fama e o sucesso com suas vidas pessoais cada vez mais complicadas.";"Bryan Singer";"https://image.tmdb.org/t/p/w400/jf7jiy0rDVn1ljUwv3pWKousQ1p.jpg";87.62;"2018-10-23";18
19;"Christopher Robin: Um Reencontro Inesquecível";"Na emocionante aventura live action “Christopher Robin: Um Reencontro Inesquecível”, da Disney, o garotinho que embarcou em inúmeras aventuras no Bosque dos Cem Acres com seu bando de adoráveis e animados bichinhos de pelúcia, cresceu e perdeu o rumo. Agora cabe aos seus amigos de infância se aventurar em nosso mundo e ajudar Christopher Robin a se recordar do garoto amável e brincalhão que ainda existe em seu interior.";"Marc Forster";"https://image.tmdb.org/t/p/w400/cduVpRg5QrqOQKydAXBRgkY4GOf.jpg";82.67;"2018-08-01";16
20;"Pantera Negra";"Após a morte do Rei T'Chaka (John Kani), o príncipe T'Challa (Chadwick Boseman) retorna a Wakanda para a cerimônia de coroação. Nela são reunidas as cinco tribos que compõem o reino, sendo que uma delas, os Jabari, não apoia o atual governo. T'Challa logo recebe o apoio de Okoye (Danai Gurira), a chefe da guarda de Wakanda, da irmã Shuri (Letitia Wright), que coordena a área tecnológica do reino, e também de Nakia (Lupita Nyong'o), a grande paixão do atual Pantera Negra, que não quer se tornar rainha. Juntos, eles estão à procura de Ulysses Klaue (Andy Serkis), que roubou de Wakanda um punhado de vibranium, alguns anos atrás.";"Ryan Coogler";"https://image.tmdb.org/t/p/w400/8TjvIO8ZJPKrMKXEjOVGNSzuO6q.jpg";79.45;"2018-02-14";28
